title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language,Unnamed: 0.1,Unnamed: 0
Not Another Church Movie,"Not Another Church Movie is a 2024 American parody film written and directed by Johnny Mack. It stars Kevin Daniels, Vivica A. Fox, Lamorne Morris, Tisha Campbell, Jasmine Guy, Lydia Styslinger, James Michael Cummings, Kyla Pratt, Mickey Rourke, and Jamie Foxx. It parodies the films of Tyler Perry.",Johnny Mack,Johnny Mack,"James Michael Cummings, Jim Cardwell, Paul Saleba, Jaron Marquis, Johnny Mack, Vern Nobles Jr.","Kevin Daniels, Vivica A. Fox, Lamorne Morris, Tisha Campbell, Jasmine Guy, Lydia Styslinger, James Michael Cummings, Kyla Pratt, Mickey Rourke, Jamie Foxx",Vern Nobles Jr.,Taylor Nida,"May 10, 2024",United States,English,,
Not Just a Goof,"Initially, the film was going to focus solely on the impact A Goofy Movie had on millennials.[5] Erik Kimelton, one of the filmmakers, is the nephew of director Kevin Lima.","Eric Kimelton, Christopher Ninness","Eric Kimelton, Christopher Ninness, Mason Trueblood","Eric Kimelton, Christopher Ninness, Scott Seibold",,"Eric Kimelton, Christopher Ninness","Eric Kimelton, Christopher Ninness","May 4, 2024(DocLands)1","United States, Colombia (animated sequences)",English,,
Not Out,"Not Out is a 2024 Indian Kannada-language dark comedy film written and directed by Ambarisha M. The film was produced by V. Ravi Kumar and Shamshuddin A under the banner of Rashtrakuta Pictures.[2] The film stars P. Ravi Shankar, Ajaya Prithvi, and Rachana Inder.[3][4]",Ambarisha M,Ambarisha M,"V. Ravi Kumar, Shamshuddin A","P. Ravi Shankar, Ajaya Prithvi, Rachana Inder",Halesh S,K. M. Prakash,19 July 2024,India,Kannada,,
Notice to Quit,"Produced and distributed by former NBA player Gordon Hayward's newly founded production company, Whiskey Creek,[8] the film was released in the United States on September 27, 2024.",Simon Hacker,Simon Hacker,"Simon Hacker, Wyatt McBride, Jordan Drake, Gordon Hayward","Michael Zegen, Kasey Bella Suarez, Isabel Arraiza, Michael Angelo Covino, Eric Berryman, Robert Klein, Nell Verlaque, Rose Jackson-Smith",Mika Altskan,Gilsub Cho,"September 27, 20243","United States, [, 4, ]",English,,
"Now There's 3 of Us? Sí, Mi Amor.","Guille and Bea are about to become parents, but the unexpected return of a distant mother-in-law will completely alter their plans. With secrets coming to light and old wounds resurfacing, the charismatic couple will face the biggest challenge of their lives. Will they be able to find peace of mind in the midst of this new obstacle?[6]",Pedro Flores Maldonado,"Pedro Flores Maldonado, Yiddá Eslava",Julián Zucchi,"Yiddá Eslava, Julián Zucchi",Luis Hidalgo,,"January 25, 2024",Peru,"Spanish, English",,
Number 24,"Number 24 is a Norwegian biographical feature film from 2024 about the Norwegian resistance fighter Gunnar Sønsteby. The film is directed by John Andreas Andersen and produced by Motion Blur. It dramatizes several of the Oslo Group's sabotage operations and assassinations during World War II, and is framed by an elderly Sønsteby giving a lecture to school students in Rjukan, where he recounts the events he participated in during the war.",John Andreas Andersen,,"Terje Strømstad, John M. Jacobsen","Sjur Vatne Brean, Erik Hivju, Philip Helgar, Magnus Dugdale, Lisa Loven Kongsli, Benjamin Myhre",,,,,,,
Nunakkuzhi,"Nunakkuzhi (transl. Dimple or pit of lies) is a 2024 Indian Malayalam-language crime comedy film directed by Jeethu Joseph,[2] and starring Basil Joseph, Grace Antony and Nikhila Vimal in the lead roles alongside Siddique, Manoj K. Jayan, Baiju Santhosh, Binu Pappu, Saiju Kurup, Aju Varghese and Althaf Salim in  supporting roles.[3]",Jeethu Joseph,K. R. Krishna Kumar,Saregama,"Basil Joseph, Grace Antony, Nikhila Vimal, Siddique",Satheesh Kurup,V. S. Vinayak,15 August 2024(India),India,Malayalam,,
Nutcrackers,"Nutcrackers is a 2024 American comedy drama film directed by David Gordon Green, written by Leland Douglas, and starring Ben Stiller.",David Gordon Green,Leland Douglas,"Rob Paris, Mike Witherill, Nate Meyer","Ben Stiller, Linda Cardellini, Homer Janson, Ulysses Janson, Atlas Janson, Arlo Janson, Toby Huss, Edi Patterson, Tim Heidecker",Michael Simmonds,Colin Patton,"September 5, 2024(TIFF)",United States,English,,
O Abhagi,O Abhagi is a 2024 Indian Bengali-language film directed by Anirban Chakraborty. The film is based on Sarat Chandra Chattopadhyay's short story 'Abhagir Swargo' and stars Rafiath Rashid Mithila in the lead role.[1][2] Presented by Swabhumi Entertainment and produced by Dr. Prabir Bhaumik. O Abhagi was released all over West Bengal on 29 March 2024.[2][3][4][5][6][7],Anirban Chakraborty,Anirban Chakraborty,Dr. Prabir Bhaumik,"Rafiath Rashid Mithila, ,, Subrat Dutta, , Debjani Chatterjee, Ishan Mazumder, Sayan Ghosh, Jinia Pande, Krishna Banerjee, and Sourav Halder.",Malay Mondal,Sujay Datta Ray,29 March 2024,India,Bengali,,
O2,"O2 (stylized as O2) is an Indian Kannada language medical thriller film written and directed by the duo of Raghav Nayak and Prashanth Raj, and produced by Ashwini Puneeth Rajkumar under PRK Productions. The film has music composed by Vivan Radhakrishna and cinematography handled by Naveen Kumar S.[1]","Raghav Nayak, Prashanth Raj","Raghav Nayak, Prashanth Raj",Ashwini Puneeth Rajkumar,"Praveen Tej, Ashika Ranganath, Prakash Belawadi",Naveen Kumar S,Deepu S. Kumar,19 April 2024,India,Kannada,,
Oasis,"The film was selected for the Forum section at the 74th Berlin International Film Festival, where it had its world premiere on 19 February 2024,[4] competing for the Berlinale Documentary Film Award.[5]","Felipe Morgado, Tamara Uribe","Felipe Morgado, Tamara Uribe","Alba Gaviraghi, [, 1, ], Diego Pino Anguita, [, 1, ]",,Adolfo Mesías,"Andrea Chignoli, Christopher Murray, Felipe Morgado, Tamara Uribe","February 19, 2024(Berlinale)",Chile,Spanish,,
OC Film,OC is a 2024 Indian Telugu Language film directed by Vshnu Bompally.[2][3],Vshnu Bompally,Vshnu Bompally,BVS,"Harish Bompally, Maanya Saladi, Lakshmi Kiran, Roiel Shree, Vivek Chepuri, Jeevan Kumar, Yogi Khatri",,,7 June 2024,India,Telugu,,
Octopus with Broken Arms,"Octopus with Broken Arms was released on 28 December 2024, in mainland China, and on 9 January 2025, in Hong Kong and Macau.","Gan Jianyu, [, zh, ]","Chen Sicheng, Wu Pipi, Li Peng, Hu Xiaonan",Chen Sicheng,"Xiao Yang, Tong Liya, Duan Yihong, Cya Liu","Du Jie, He Shan",Ma Linxi,28 December 2024(mainland China),China,Mandarin,,
Odd Fish,"The film has received generally favourable reviews from critics. Kolbeinn Rastrick from RÚV praised the film, stating ""It's heartwarming and funny even though it doesn't dig too deep, and it's refreshing to see a movie that gives queerness space to exist in the joy and not just the sadness.""[5]",Snævar Sölvi Sölvason,Snævar Sölvi Sölvason,"Júlíus Kemp, Ingvar Þórðarson","Björn Jörundur Friðbjörnsson, Arna Magnea Danks, Helgi Björnsson, Vigdís Hafliðadóttir, Pálmi Gestsson",Birgit Guðjónsdóttir,,"September 3, 2024",Iceland,Icelandic,,
An Odd Turn,"An Odd Turn (Spanish: Un movimiento extraño) is a 2024 Argentine drama short film written and directed by Francisco Lezama. Starring Laila Maltz, the film tells the story of a security guard who senses the theft of a work of art.[1]",Francisco Lezama,,"Iván Moscovich, Juan Segundo Alamos, Francisco Lezama, Jerónimo Quevedo, Victoria Marotta, Adrien Cothier","Laila Maltz, Paco Gorriz",Federico Lastra,Franco Figueroa,17 February 2024(Berlinale),Argentina,Spanish,,
Oddamavadi,"Oddamavadi: The Untold Story also known commonly as Oddamavadi is a 2024 Sri Lankan documentary film written by Roshanara De Mel and directed by Aman Ashraff. The documentary depicts the plight and the daily life patterns of Sri Lankan muslims and also elaborates on the untold story regarding the grievances and hassles faced by Sri Lankan Muslim Moor community during the onset of the COVID-19 pandemic in Sri Lanka whereas the community had to endure struggles owing to their ordeal with forced cremations of their immediate family members who had succumbed to the coronavirus pandemic.[1] The film had its theatrical release across various theatres in Sri Lanka on 2 August 2024.[2] On 12 August 2024, a book titled Oddamavadi: The Untold Story was unveiled for public view at Barefoot Gallery Cafe.[3]",Aman Ashraff,Roshanara De Mel,,,,,2 August 2024(Regal CinemasRegal CinemasScope CinemasMajestic CineplexKCC Multiplex),Sri Lanka,English,,
Oddity,Oddity is a 2024 Irish horror film written and directed by Damian McCarthy.[4]  It follows a blind medium and curio shopkeeper who is still grieving the death of her twin sister a year prior when a wooden golem from her collection becomes crucial to her quest to uncover the truth about her sister's murder.[5],Damian McCarthy,Damian McCarthy,"Laura Tunstall, Mette-Marie Kongsved, Katie Holly, Evan Horan","Gwilym Lee, Carolyn Bracken, Tadhg Murphy, Caroline Menton, Jonathan French, Steve Wall",Colm Hogan,Brian Philip Davis,8 March 2024(SXSW),Ireland,English,,
Of Dogs and Men,"It is an international co-production with Italy's public broadcaster, RAI. It premiered at the 81st Venice International Film Festival on 5 September 2024.[2]",Dani Rosenberg,"Dani Rosenberg, Ori Avinoam, Itay Tamir","Alexander Rodnyansky, Itai Tamir, Donatella Palermo","Ori Avinoam, Yamit Avital, Nora Lifshitz, Lihu Nitzan",,Nili Feller,5 September 2024,Israel,Hebrew,,
Officer Black Belt,"Lee Jung-do is a black belt in taekwondo, kendo, and judo who spends his days playing video games with his nerdy friends when not working as a delivery rider for his father's fried chicken restaurant. After one such delivery, Jung-do helps supervisor probation officer Cho Min-jo in subduing a violent parolee who was caught violating his probation. After receiving a commendation for his help, probation department manager Kim Sun-min persuades Jung-do to join up as a ""martial arts officer"", who use their skills to handle aggressive probation violators, with Sun-min serving as his partner and mentor. After taking on the job, the two become fast friends and Jung-do soon considers Sun-min to be like an older brother to him. Their work also instils a strong sense of justice in Jung-do.",Jason Kim,Jason Kim,"Byun Seung-min, Jang Joo-yeon","Kim Woo-bin, Kim Sung-kyun",Lee Tae-woo,Kim Seon-mi,"September 13, 2024",South Korea,Korean,,
"Oh, Canada","Oh, Canada is a 2024 American drama film written and directed by Paul Schrader, based on the 2021 novel Foregone by Russell Banks. It stars Richard Gere, Uma Thurman, Michael Imperioli, Jacob Elordi, Victoria Hill, Penelope Mitchell and Kristine Froseth. In the film, a dying filmmaker (played by Gere in the present and Elordi in flashbacks) sits for a final interview, during which he admits that his status as a progressive icon is built on a foundation of lies and half-truths, and that he has repeatedly used and discarded his family and friends. The film marked the second collaboration between Gere and Schrader after American Gigolo (1980) as well as Schrader's second adaptation of a novel by Banks after 1997's Affliction.",Paul Schrader,,"Tiffany Boyle, David Gonzales, Meghan Hanlon, Scott LaStaiti, Luisa Law","Richard Gere, Jacob Elordi, Uma Thurman, Victoria Hill, Michael Imperioli, Penelope Mitchell, Kristine Froseth",Andrew Wonder,Benjamin Rodriguez Jr.,"May 17, 2024(Cannes)","United States, [, 1, ]",English,,
Okurimono,The film went into production in 2022 under the working title Mama no himitsu.[3],Laurence Lévesque,Laurence Lévesque,"Rosalie Chicoine Perreault, Catherine Boily",Noriko Oi,Sébastien Blais,Marie-Pier Grignon,"April 16, 2024(Visions du Réel)",Canada,Japanese,,
Olavum Theeravum,"Olavum Theeravum (transl. Ripples and the bank) is a 2024 Indian Malayalam-language period drama featurette written by M. T. Vasudevan Nair and directed by Priyadarshan. It is based on Nair's 1957 short story of the same name and serves as a remake of the 1970 film adaptation. The featurette is part of the anthology web series Manorathangal (transl. Mindscapes), which consists of nine featurettes adapted from Nair's short stories. Mohanlal appears as the main lead  as Bapputty. It also features Mamukkoya, Hareesh Peradi, Surabhi Lakshmi and Durga Krishna .",Priyadarshan,M. T. Vasudevan Nair,"Vikram Mehra, Siddharth Anand Kumar, Rohandeep Singh, Rajesh Kejriwal, Jay Pandya","Mohanlal, Surabhi Lakshmi",Santosh Sivan,M. S. Aiyappan Nair,15 August 2024,India,Malayalam,,
The Old Bachelor,"The Old Bachelor (Persian: پیرپسر, romanized: Pir Pesar) is a 2024 Iranian drama film written and directed by Oktay Baraheni. Starring Hasan Pourshirazi, Leila Hatami, Hamed Behdad and Mohammad Valizadegan, it premiered at the 53rd International Film Festival Rotterdam, where it won the VPRO Big Screen Award.[1][2][3]",Oktay Baraheni,Oktay Baraheni,"Babak Hamidian, Hanif Sarvari","Hasan Pourshirazi, Leila Hatami, Hamed Behdad, Mohammad Valizadegan",Adib Sobhani,Reza Shahbazi,"January 31, 2024(Rotterdam)",Iran,Persian,,
Old Guy,"Old Guy is a 2024 American action comedy film directed by Simon West, written by Greg Johnson, produced by Martin Brennan and Jib Polhemus, and Dark Castle Entertainment. Filmed on location in Northern Ireland and starring Christoph Waltz, Lucy Liu, and Cooper Hoffman.",Simon West,Greg Johnson,"Jib Polhemus, Martin Brennan, Hal Sadoff","Christoph Waltz, Lucy Liu, Cooper Hoffman, Desmond Eastwood",Martin Ahlgren,Andrew MacRitchie,"October 17, 2024(NBFF)",United States,English,,
Old Righteous Blues,"In Robertson in the Western Cape, two brothers, Hantjie and Elvin Jansen, still suffer from the aftereffects of a generation-old rupture in their community caused by the splitting of the Old Righteous Blues Christmas choir into two, rival, choirs, respectively led by their estranged father and uncle. Hantjie's ambitions to be Drum Major in his uncle's band threaten his relationship with his brother Elvin, a quietly talented trumpeter whose loyalties lie with his late father's legacy band, the New Righteous Blues.",Muneera Sallies,,"Pieter Grobbelaar, Dumi Gumbi, Lizette Khan, Helen Kuun, Waldimar Pelser, Nomsa Philiso, Nicola van Niekerk, Catharina Weinek","Ayden Croy, Joshwin Dyson",William Collinson,Bruce McLaren-Lyall,2024,,Afrikaans,,
Ole Aale,"Ole Aale is a 2024 Indian Marathi-language comedy drama road film written and directed by Vipul Mehta, and produced by Rashmin Majithia under the banner Coconut Motion Pictures. The film stars Nana Patekar,[2] Siddharth Chandekar,[3] Sayali Sanjeev[4] and Makarand Anaspure.[5] The film is a remake of Gujarati film Chaal Jeevi Laiye!.[6] The soundtrack was composed by Sachin–Jigar. The film was theatrically released on 5 January 2024 and has completed its 100 days at the box office on 12 April 2024, grossing ₹5.33 crore (US$630,000).It is about a father-son relationship.",Vipul Mehta,"Vipul Mehta, and Jainesh Ejardar",Rashmin Majithia,"Nana Patekar, Siddharth Chandekar, Sayali Sanjeev, Makarand Anaspure, Tanvi Azmi",Gulam N.S.,,5 January 2024,India,Marathi,,
Olivia & the Clouds,The film had its world premiere at the 77th Locarno Film Festival on 15 August 2024.,Tomás Pichardo Espaillat,,"Amelia del Mar Hernández González, Fernando Santos Díaz","Olga Valdez, Héctor Aníbal, Elsa Núñez, Fery Cordero Bello, Dominique Goris",Tomás Pichardo Espaillat,,15 August 2024(Locarno),Dominican Republic,Spanish,,
Om Bheem Bush,"Om Bheem Bush is a 2024 Indian Telugu-language horror comedy film written and directed by Sree Harsha Konuganti and produced by Sunil Balusu under the banner V Celluloid. The film features Sree Vishnu in a dual role, alongside Priyadarshi, Rahul Ramakrishna, Srikanth Iyengar, Preity Mukhundhan, and Ayesha Khan in the lead roles. Music is composed by Sunny M.R and cinematography by Raj Thota.[citation needed] The film released theatrical on 22 March 2024.[4]",Sree Harsha Konuganti,Sree Harsha Konuganti,Sunil Balusu,"Sree Vishnu, Priyadarshi, [, 1, ], Rahul Ramakrishna, Srikanth Iyengar, Preity Mukhundhan, Ayesha Khan",Raj Thota,Vijay Vardhan Kavuri,22 March 2024,India,Telugu,,
Omar,"The film's screenplay is by Siddiq Ahmed, cinematography is by Raju Raj and soundtrack is composed by Savvy Gupta and Naved Parvez.",Mohammad Mostafa Kamal Raz,,Khorshed Alam,"Sariful Razz, Darshana Banik, Nasir Uddin Khan, Shahiduzzaman Selim, Fazlur Rahman Babu",Raju Raj,MD Kamal,11 April 2024,Bangladesh,Bengali,,
OMG: O Manchi Ghost,"OMG: O Manchi Ghost is a 2024 Indian Telugu-language horror comedy film written and directed by Shankar K. Marthand. The film features Vennela Kishore, Nandita Swetha, Shakalaka Shankar, Navami Gayak and Rajath Raghav in important roles.",Shankar K. Marthand,Shankar K. Marthand,Abinika Inabathuni,"Vennela Kishore, Nandita Swetha, Shakalaka Shankar, Navami Gayak, Rajath Raghav",I. Andrew Babu,M. R. Varma,21 June 2024,India,Telugu,,
