title,description,directed_by,produced_by,starring,country,language,release_date
Mufasa: The Lion King,No data,Barry Jenkins,"Adele Romanski, Mark Ceryak","Aaron Pierre, Kelvin Harrison Jr., Seth Rogen, Billy Eichner, Tiffany Boone, Donald Glover, Mads Mikkelsen, Thandiwe Newton, Lennie James, Anika Noni Rose, Blue Ivy Carter, Beyoncé Knowles-Carter",United States,English,09-12-2024
Mukhya Gamanika,Mukhya Gamanika is a 2024 Indian Telugu-language crime thriller film written and directed by Venu Muralidhar Vadnala. The film features Viran Muttamsetty and Lavannya Sahukara in lead roles.[1] It was released in theatres on 23 February 2024.[2],Venu Muralidhar Vadnala,"Rajashekar Lokam, Saikrishna Lokam","Viran Muttamsetty, Lavannya Sahukara",India,Telugu,23-02-2024
Munda Rockstar,"Munda Rockstar (Punjabi: ਮੁੰਡਾ ਰੌਕਸਟਾਰ)[2] is an Indian Punjabi-language film directed by Satyajeet Puri.[3] The film stars Mohammad Nazim, Yuvraj Hans and Aditi Aarya.[4]",Satyajeet Puri,"Sanjay Jalan, Abhishek Jalan","Mohammad Nazim, Yuvraj Hans, Aditi Aarya, [, 1, ]",India,Punjabi,12-01-2024
Munjya,"Munjya is a 2024 Indian Hindi-language comedy horror film directed by Aditya Sarpotdar and starring Abhay Verma, Sharvari, Sathyaraj and Mona Singh. The titular character was entirely created using CGI.[4] Produced by Amar Kaushik and Dinesh Vijan under Maddock Films, it is the third installment in the Maddock Horror Comedy Universe and focuses on the legend of Munjya, inspired by Indian folklore and mythology.",Aditya Sarpotdar,"Dinesh Vijan, Amar Kaushik","Abhay Verma, Sharvari, Sathyaraj, Mona Singh",India,Hindi,07-06-2024
Mura,Phars Films (International),Muhammad Musthafa,Riya Shibu,"Suraj Venjaramoodu, Hridhu Haroon, Kani Kusruti, Maala Parvathi",India,Malayalam,08-11-2024
Murder and Cocktails,"Murder and Cocktails, also known as Cocktails with Nick and Lana, is a 2024 American murder mystery film directed by Henry Barrial and written by Ron Jackson. The film stars Jason Bernardo, Jessicah Neufeld, Colleen O'Shaughnessey, Ricardo Molina and Lucy Boryer.",Henry Barrial,Ron Jackson,"Jason Bernardo, Jessicah Neufeld, Colleen O'Shaughnessey, Ricardo Molina, Lucy Boryer, Brian Lally, Nerissa Tedesco, Caroline Amiguet, Jeff Nimoy",United States,English,23-01-2024
Murder Company,"Murder Company is a 2024 Alternate History action war film about American paratroopers in alternate version of World War II on a secret mission in Normandy to rescue a French Resistance operative from German capture, then to smuggle him behind enemy lines to kill a Nazi general.[1][2]",Shane Dax Taylor,"Ian Niles, Richard Switzer","Joe Anderson, Kelsey Grammer, Pooch Hall, Gilles Marini, William Moseley, Jilon VanOver",United States,English,05-07-2024
Murder Mubarak,"Murder Mubarak (transl. Congratulations on Murder) is a 2024 Indian Hindi-language mystery thriller film based on the novel Club You To Death written by Anuja Chauhan.[2][3] The film is directed by Homi Adajania and produced by Dinesh Vijan.[4] The film features an ensemble cast, including Pankaj Tripathi,  Karisma Kapoor, Sara Ali Khan, Vijay Varma, Dimple Kapadia,  Sanjay Kapoor, Tisca Chopra, Suhail Nayyar and Tara Alisha Berry.[5][6][7]",Homi Adajania,Dinesh Vijan,"Pankaj Tripathi, Karisma Kapoor, Sara Ali Khan, Vijay Varma, Dimple Kapadia, Tisca Chopra, Sanjay Kapoor",India,Hindi,15-03-2024
Muri & Ko,"Muri, who is known in the neighbourhood to be a petty thief, soon found a big opportunity to steal a luxury car at a mall. He seized the opportunity and stole the car, unaware that a child, Cole, was inside. As soon as he discovered the child, he sought a way to get rid of the boy by abandoning him on the road. Muri took pity on the boy when hoodlums pounced on him and decided to embark on the journey with him.",Biodun Stephen,No data,"Kunle Remi, Bisola Aiyeola, Femi Jacobs, Charles Okocha",Nigeria,"English, Yoruba, Igbo, Nigeria Pidgin",12-06-2024
Murphy,"Murphy is a 2024 Indian Kannada-language science fiction drama film written and directed by BSP Varma. The film features Prabhu Mundkur, Roshni Prakash, Ila Veermalla, and H. G. Dattatreya in lead roles, alongside Ashwin Rao Pallakki, Mahantesh Hiremath, Rramprasadd Banavara, BSP Varma, and Master Dhawan in supporting roles.",BSP Varma,"Ramco Somanna, BSP Varma","Prabhu Mundkur, Roshni Prakash, Ila Veermalla, H. G. Dattatreya",India,"Kannada, Konkani",18-10-2024
Musafiraa,"Musafiraa (transl. Traveller) is a 2024 Marathi-language coming-of-age adventure drama film directed by Pushkar in his directorial debut[1] and produced by Anand Pandit, Roopa Pandit, Pushkar Jog and Nitin Vaidya under Anand Pandit Motion Pictures, Aish Motion Pictures, Goosebumps Entertainment and Nitin Vaidya Productions.[2] The film stars an ensemble cast of Pushkar Jog, Pooja Sawant, Smrity Sinha, Pushkaraj Chirputkar and Dissha Pardeshi.[3] The film highlights the importance of friendship at every turn of life.",Pushkar Jog,"Anand Pandit, Roopa Pandit, Pushkar Jog, Nitin Vaidya","Pushkar Jog, Pooja Sawant, Smrity Sinha, Pushkaraj Chirputkar, Dissha Pardesi",India,Marathi,02-02-2024
Music by John Williams,"Williams composed music for many films throughout his career, including the Star Wars series, the Indiana Jones series, and E.T. the Extra-Terrestrial.",Laurent Bouzereau,"Sara Bernstein, Laurent Bouzereau, Justin Falvey, Darryl Frank, Brian Grazer, Ron Howard, Meredith Kaulfers, Kathleen Kennedy, Frank Marshall, Steven Spielberg, Justin Wilkes",John Williams,United States,English,No date
Music Shop Murthy,Music Shop Murthy is a 2024 Indian Telugu-language comedy drama film written and directed by Siva Paladugu and produced through Fly High Cinemas.[1] The film features Ajay Ghosh and Chandini Chowdary in primary roles and was released on 14 June 2024.[2],Siva Paladugu,"Harsha Garapati, Ranga Rao Garapati","Ajay Ghosh, Chandini Chowdary",India,Telugu,14-06-2024
Música,Música is a 2024 American coming-of-age romantic comedy film starring and directed by Rudy Mancuso in his feature film directorial debut. Mancuso also co-wrote the screenplay with Dan Lagana and composed the film’s original soundtrack. Camila Mendes and J.B. Smoove co-star.,Rudy Mancuso,"McG, Mary Viola","Rudy Mancuso, Camila Mendes, J.B. Smoove",United States,"English, Portuguese, [, 2, ], [, 3, ]",14-03-2024
My Dead Friend Zoe,"My Dead Friend Zoe is a 2024 American comedy-drama film written by Kyle Hausmann-Stokes and A. J. Bermudez, directed by Hausmann-Stokes and starring Sonequa Martin-Green, Natalie Morales, Gloria Reuben, Utkarsh Ambudkar, Morgan Freeman, and Ed Harris.",Kyle Hausmann-Stokes,"Paul Scanlan, Kyle Hausmann-Stokes, Terri Lubaroff, Ray Maiello, Mike Field, Richard Silverman, Robert Paschall Jr.","Sonequa Martin-Green, Natalie Morales, Gloria Reuben, Utkarsh Ambudkar, Morgan Freeman, Ed Harris",United States,English,09-03-2024
My Dear Donga,"My Dear Donga (transl. My dear thief) is a 2024 Indian Telugu-language comedy drama film directed by B. S. Sarwagna Kumar and written by Shalini Kondepudi. The film stars Abhinav Gomatam, Shalini Kondepudi, Divya Sripada, Nikhil Gajula, Vamsidhar Goud, Shashank Manduri and others.",B S Sarwagna Kumar,Maheshwar Reddy Gojala,"Abhinav Gomatam, Shalini Kondepudi, Divya Sripada, Nikhil Gajula, Sashaank Manduri",India,Telugu,19-04-2024
My Eternal Summer,The film had its world premiere at the 72nd San Sebastián International Film Festival on 23 September 2024.,Sylvia Le Fanu,Jeppe Wowk,"Kaya Toft Loholt, Maria Rossing, Anders Mossling",Denmark,Danish,23-09-2024
My Everything,"The film  was produced  by produced by Les Films Pelléas, with France 3 Cinéma and  Pictanovo serving as co-producers.[1]","Anne-Sophie Bailly, [, fr, ]","David Thion, Philippe Martin","Laure Calamy, Charles Peccia-Galletto",No data,French,31-08-2024
My Fathers' Daughter,"My Fathers' Daughter (Northern Sami: Biru Unjárga, lit. 'Fucking Unjárga') is a 2024 coming-of-age comedy drama film directed by Egil Pedersen in his feature directorial debut. It premiered at the Toronto International Film Festival on 9 September 2024.",Egil Pedersen,"Mathis Ståle Mathisen, Pål Røed, Aleksander Olai Korsnes","Sarah Olaussen Eira, Ingá Elisá Påve Idivuoma, Aslat Máhtte Gaup, Amund Lode, Ánne Mággá Wigelius, Sara Sofia Mienna, Nikolaj Coster-Waldau","Norway, Sweden, Finland","Northern Sámi, Danish, English, Norwegian",09-09-2024
My Favourite Cake,"My Favourite Cake (Persian: کیک محبوب من, translit. Keyk-e mahbub-e man) is a 2024 romantic tragicomedy film co-written and directed by Maryam Moghaddam and Behtash Sanaeeha, and starring Lily Farhadpour and Esmail Mehrabi. The film tells the story of a woman who decides to live out her desires in a country where women's rights are heavily restricted.","Maryam Moghaddam, Behtash Sanaeeha","Etienne de Ricaud, Peter Krupenin, Gholamreza Moosavi, Behtash Sanaeeha, Christopher Zitterbart","Lily Farhadpour, Esmail Mehrabi","Iran, France, Sweden, Germany",Persian,16-02-2024
My First Film,"The film had its world premiere at CPH:DOX in Copenhagen on March 19, 2024, then had a limited release on August 30 before streaming on Mubi on September 6. It received critical acclaim.",Zia Anger,"Taylor Shung, Riel Roch-Decter","Odessa Young, Devon Ross, Cole Doman, Jane Wickline, Seth Steinberg, Sage Ftacek, Abram Kurtz, Jackson Anthony, Philip Ettinger, Sarah Michelson, Ruby Max Fury",United States,English,19-03-2024
My Future You,"My Future You is a 2024 Philippine romantic comedy film written and directed by Crisanto B. Aquino. Starring Francine Diaz and Seth Fedelin, it revolves around two strangers from different timelines meeting each other in a dating app. It co-stars Almira Muhlach, Christian Vasquez, Peewee O'Hara, Bodjie Pascua, Mosang, and Izzy Canillo.",Crisanto B. Aquino,"Lily Y. Monteverde, Roselle Monteverde, Keith Monteverde","Francine Diaz, Seth Fedelin",Philippines,Filipino,25-12-2024
My Hero,"My Hero is a 2024 Indian Kannada-language drama film written and directed by Avinash Vijaykumar in his directorial debut. The film stars Djilali Rez Kallah, Master Vedic Kushal, H. G. Dattatreya, Prakash Belawadi, Ankita Amar, and Eric Roberts.[4]",Avinash Vijaykumar,Avinash Vijaykumar,"Djilali Rez Kallah, Master Vedic Kushal, H. G. Dattatreya, Prakash Belawadi, Ankita Amar, Eric Roberts",India,Kannada,30-08-2024
My Hero Academia: You're Next,"My Hero Academia: You're Next (Japanese: 僕のヒーローアカデミア THE MOVIE ユア ネクスト, Hepburn: Boku no Hīrō Akademia za Mūbī Yuā Nekusuto) is a 2024 Japanese animated superhero film based on an original story featuring the characters of My Hero Academia manga series by Kōhei Horikoshi. Produced by Bones and distributed by Toho, the film is directed by Tensai Okamura from a script written by Yōsuke Kuroda and features an ensemble cast that includes Daiki Yamashita, Nobuhiko Okamoto, Yuki Kaji, Ayane Sakura, and Kaito Ishikawa. In the film, taking place after the U.A. Traitor arc of the manga, Izuku Midoriya faces a villain who tries to imitate the hero that Izuku has long admired the most.",Tensai Okamura,"Fumi Miura, Hiroya Nakata, Kensuke Kobuse, Misuzu Tsumura, Ryōta Katō, Tatsuya Saitō, Xia Na Lu, Yasutaka Hyūga","Daiki Yamashita, Nobuhiko Okamoto, Yuki Kaji, Ayane Sakura, Kaito Ishikawa",Japan,Japanese,02-08-2024
My Late Summer,"My Late Summer (Bosnian: Nakon ljeta) is a 2024 internationally co-produced comedy-drama film directed by Danis Tanović and written by Anja Matković, Nikola Kuprešanin and Tanović. The plot follows a family fighting for inheritance on a small island.[2]",Danis Tanović,"Lana Matić, Boris T. Matić, Jelena Mitrović, Miha Černec, Jožko Rutar, Mirsad Purivatra, Jovan Marjanović, Anamaria Antoci","Anja Matković, Uliks Fehmiu, Goran Navojec","Bosnia and Herzegovina, Croatia, Romania, Serbia, Slovenia","Croatian, Bosnian",No date
Emma,"My Melbourne is an anthology film featuring four stories about identity and belonging, inspired by true incidents in Melbourne, Australia.[4][5] The film addresses themes of diversity, sexuality, gender, disability, and race, with each directed by Indian filmmakers Onir, Rima Das, Imtiaz Ali, and Kabir Khan.[6][4]","Onir, Rima Das, Imtiaz Ali, Kabir Khan, Arif Ali, Rahul Vohra",Mitu Bhowmick Lange,"Arka Das, Arushi Sharma, Kat Stewart, Ryanna Skye Lawson, Setara Amiri, Brad Hodge, Jackson Gallagher, Mouli Ganguly, Jake Ryan, Ella Wilson","Australia, India","English, Bengali, Hindi, Dari, Auslan",No date
My Mercury,"The film was released on January 12, 2024.",Joëlle Chesselet,"Joëlle Chesselet, George Chignell",No data,"United Kingdom, [, 1, ], United States, [, 1, ]","English, [, 1, ]",12-01-2024
My Name Is Loh Kiwan,"My Name Is Loh Kiwan (Korean: 로기완) is a 2024 South Korean drama film written and directed by Kim Hee-jin and starring Song Joong-ki and Choi Sung-eun. It is based on the 2019 fictional novel I Met Loh Kiwan by author Cho Hae-jin. The film is about the experiences of a North Korean defector who travels to Belgium for refuge. It was released on Netflix in selected regions on March 1, 2024.",Kim Hee-jin,Jang Eun-young,"Song Joong-ki, Choi Sung-eun",South Korea,"Korean, French, English, Chinese",01-03-2024
My New Friends,"My New Friends (French: Les gens d’à côté) is a 2024 French psychological  drama film directed by André Téchiné. The film starring Isabelle Huppert, revolves around Lucie a specialized agent in the scientific police. Her solitary daily life is disturbed by the arrival in her housing estate of a young couple and their little girl.[1]",André Téchiné,"Sylvie Pialat, Benoît Quainon","Isabelle Huppert, Hafsia Herzi, Nahuel Pérez Biscayart",France,French,19-02-2024
My Old Ass,"My Old Ass is a 2024 coming-of-age comedy drama film, written and directed by Megan Park. It stars Maisy Stella in her film debut, Percy Hynes White, Maddie Ziegler, Kerrice Brooks, and Aubrey Plaza. The plot follows Elliott, an 18-year-old girl who encounters her 39-year-old self (portrayed by Stella and Plaza, respectively) during a mushroom trip.",Megan Park,"Tom Ackerley, Margot Robbie, Josey McNamara, Steven Rales","Maisy Stella, Percy Hynes White, Maddie Ziegler, Kerrice Brooks, Aubrey Plaza","United States, Canada",English,20-01-2024
